#No Freq Ls Rs Q
143 1.44 6.17242 0.985057 56.69391767
144 1.45 6.17377 0.997651 56.37929936
145 1.46 6.1751 1.01059 56.0533693
146 1.47 6.17655 1.02394 55.71455365
147 1.48 6.17808 1.03806 55.34426892
148 1.49 6.17944 1.05128 55.02966313
149 1.5 6.18084 1.06462 54.71721798
150 1.51 6.18227 1.07788 54.41697176
151 1.52 6.18369 1.09167 54.09782318
152 1.53 6.18518 1.10586 53.76795174
153 1.54 6.18663 1.1192 53.48685113
154 1.55 6.18814 1.13351 53.16751242
155 1.56 6.18972 1.14733 52.8794733
156 1.57 6.19134 1.16147 52.58430983
157 1.58 6.19293 1.17578 52.28860528
158 1.59 6.19449 1.18946 52.02746994
159 1.6 6.196 1.205 51.69210445
160 1.61 6.19753 1.21977 51.39802536
161 1.62 6.19906 1.234 51.13350502
162 1.63 6.20059 1.24786 50.89025472
163 1.64 6.20215 1.26328 50.59019593
164 1.65 6.2037 1.27938 50.2707128
165 1.66 6.20529 1.29453 49.99630626
166 1.67 6.20695 1.30806 49.79054972
167 1.68 6.20856 1.32348 49.51794919
168 1.69 6.21022 1.33893 49.2510718
169 1.7 6.21185 1.35528 48.95766772
170 1.71 6.21355 1.36979 48.73733578
171 1.72 6.21526 1.38604 48.46094206
172 1.73 6.21701 1.40245 48.18591949
173 1.74 6.21869 1.41711 47.97604706
174 1.75 6.22037 1.43226 47.75427676
175 1.76 6.22211 1.44974 47.4613513
176 1.77 6.22391 1.46621 47.20850653
177 1.78 6.22569 1.48231 46.97300282
178 1.79 6.2275 1.49878 46.73139509
179 1.8 6.22931 1.51549 46.48782659
180 1.81 6.23108 1.53163 46.26663414
181 1.82 6.2328 1.54844 46.02990367
182 1.83 6.23461 1.5642 45.82980067
183 1.84 6.23642 1.58228 45.56692357
184 1.85 6.23819 1.59853 45.36170853
185 1.86 6.23996 1.61472 45.16243961
186 1.87 6.24178 1.63077 44.97148398
187 1.88 6.24364 1.64993 44.70026036
188 1.89 6.24554 1.66796 44.46579232
189 1.9 6.24743 1.68515 44.25846051
190 1.91 6.24936 1.70202 44.06402042
191 1.92 6.2512 1.72075 43.82548316
192 1.93 6.25302 1.73872 43.61113057
193 1.94 6.25503 1.75616 43.41571066
194 1.95 6.25706 1.77289 43.24172484
195 1.96 6.25914 1.79257 43.00059663
196 1.97 6.26111 1.80998 42.81773129
197 1.98 6.26307 1.82665 42.65569114
198 1.99 6.26502 1.84466 42.46577711
199 2 6.26702 1.86352 42.26071948
